2022-09-19 15:02:18.040 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:434 - equipment.equipment [id=14, equipmentName=CAK004, equipmentTypeId=1, description=newTest, model=null, fleet=null, equipmentSerialNumber=8, equipmentIP=192.168.254.150, equipmentMAC=null, fuelLevel=0.0, gnss=null, tires=null, costCenter=null, active=true]
2022-09-19 15:02:18.042 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:434 - equipment.equipment [id=16, equipmentName=CAK005, equipmentTypeId=1, description=null, model=null, fleet=null, equipmentSerialNumber=9, equipmentIP=192.168.254.151, equipmentMAC=null, fuelLevel=0.0, gnss=null, tires=0, costCenter=null, active=false]
2022-09-19 15:02:18.043 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:434 - equipment.equipment [id=22, equipmentName=CAK007, equipmentTypeId=1, description=null, model=null, fleet=null, equipmentSerialNumber=10, equipmentIP=192.168.254.152, equipmentMAC=null, fuelLevel=null, gnss=null, tires=null, costCenter=null, active=false]
2022-09-19 15:02:18.044 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:434 - equipment.equipment [id=7, equipmentName=ESK07, equipmentTypeId=2, description=123, model=null, fleet=null, equipmentSerialNumber=1, equipmentIP=192.168.254.144, equipmentMAC=null, fuelLevel=0.0, gnss=null, tires=null, costCenter=null, active=true]
2022-09-19 15:02:18.046 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:434 - equipment.equipment [id=27, equipmentName=fab4, equipmentTypeId=2, description=fab4, model=null, fleet=null, equipmentSerialNumber=VPN72-FABR4, equipmentIP=192.168.100.21, equipmentMAC=00:0C:29:01:B0:A1, fuelLevel=800.0, gnss=null, tires=null, costCenter=null, active=true]
2022-09-19 15:02:18.046 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:434 - equipment.equipment [id=5, equipmentName=ESK05, equipmentTypeId=2, description=null, model=null, fleet=null, equipmentSerialNumber=SY9530CT00184, equipmentIP=192.168.254.142, equipmentMAC=00:14:0B:87:7B:21, fuelLevel=2000.0, gnss=null, tires=null, costCenter=null, active=true]
2022-09-19 15:02:18.047 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:434 - equipment.equipment [id=19, equipmentName=SDP019, equipmentTypeId=4, description=null, model=null, fleet=null, equipmentSerialNumber=SY9530CT00192, equipmentIP=192.168.254.156, equipmentMAC=00:14:0B:87:7B:01, fuelLevel=1000.0, gnss=null, tires=null, costCenter=null, active=true]
2022-09-19 15:02:18.048 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:434 - equipment.equipment [id=3, equipmentName=MT003, equipmentTypeId=1, description=null, model=null, fleet=null, equipmentSerialNumber=null, equipmentIP=192.168.254.134, equipmentMAC=30:9C:23:29:6F:F5, fuelLevel=500.0, gnss=null, tires=null, costCenter=null, active=true]
2022-09-19 15:02:18.051 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:434 - equipment.equipment [id=23, equipmentName=SDP023, equipmentTypeId=4, description=null, model=null, fleet=null, equipmentSerialNumber=SY9530HW00049, equipmentIP=192.168.254.142, equipmentMAC=null, fuelLevel=1000.0, gnss=null, tires=null, costCenter=null, active=true]
2022-09-19 15:02:18.052 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:434 - equipment.equipment [id=26, equipmentName=ESK182, equipmentTypeId=2, description=BC182, model=null, fleet=null, equipmentSerialNumber=SY9530AT00002, equipmentIP=192.168.254.182, equipmentMAC=00:14:0B:87:07:7A, fuelLevel=500.0, gnss=null, tires=null, costCenter=null, active=true]
2022-09-19 15:02:18.427 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:417 - equipment = 28 in (TableVersion). The version of the table in the database has been updated.
2022-09-19 15:02:18.429 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:335 - Table 'equipment'  has been updated.
2022-09-19 15:02:18.431 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:358 - All tables have been updated
2022-09-19 15:07:17.442 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:195 - No tables trans_ for update
2022-09-19 15:12:17.666 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:222 - response.hasBody() && response.getBody() == 1 -> true
2022-09-19 15:12:17.670 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:179 - data is write in server
2022-09-19 15:12:17.679 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:187 - Table 'trans_fuel' is cleaned.
2022-09-19 15:17:17.967 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:222 - response.hasBody() && response.getBody() == 1 -> true
2022-09-19 15:17:17.980 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:179 - data is write in server
2022-09-19 15:17:17.987 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:187 - Table 'trans_fuel' is cleaned.
2022-09-19 15:22:18.230 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:222 - response.hasBody() && response.getBody() == 1 -> true
2022-09-19 15:22:18.233 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:179 - data is write in server
2022-09-19 15:22:18.242 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:187 - Table 'trans_fuel' is cleaned.
2022-09-19 15:27:18.518 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:222 - response.hasBody() && response.getBody() == 1 -> true
2022-09-19 15:27:18.521 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:179 - data is write in server
2022-09-19 15:27:18.531 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:187 - Table 'trans_fuel' is cleaned.
